,Y,age,age(years),child_TNW,child_TNS,examiner_TNW,freq_ttr,r_2_i_verbs,mor_words,num_pos_tags,n_dos,repetition,retracing,fillers,s_1g_ppl,s_2g_ppl,s_3g_ppl,d_1g_ppl,d_2g_ppl,d_3g_ppl,z_mlu_sli,z_mlu_td,z_ndw_sli,z_ndw_td,z_ipsyn_sli,z_ipsyn_td,z_utts_sli,z_utts_td,total_syl,average_syl,mlu_words,mlu_morphemes,mlu100_utts,verb_utt,dss,ipsyn_total,present_progressive,propositions_in,propositions_on,plural_s,irregular_past_tense,possessive_s,uncontractible_copula,articles,regular_past_ed,regular_3rd_person_s,irregular_3rd_person,uncontractible_aux,contractible_copula,contractible_aux,word_errors,f_k,n_v,n_aux,n_3s_v,det_n_pl,det_pl_n,pro_aux,pro_3s_v,total_error
count,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0
mean,1.0,98.53183520599251,8.210986267166293,358.0674157303371,48.01498127340824,23.910112359550563,0.3885543071161049,0.7798020691666667,308.53932584269666,35.86142322097378,1.0224719101123596,9.153558052434457,5.456928838951311,7.599250936329588,350.3617217228464,167.8323813483146,104.07672655430711,22.389919850187265,13.90484906367041,14.068836853932584,-7.49063732389791e-13,-0.9711663388573034,3.74524547870838e-12,1.3115646840707864,3.745119071292843e-13,1.6931833833647942,-2.247177891125632e-12,-0.11740635025355804,413.0861423220974,1.1452921587925093,6.443520599250936,7.214161048689139,44.56928838951311,1.184498127340824,9.151610486891386,66.7752808988764,8.486891385767791,2.730337078651685,2.0711610486891385,5.520599250936329,23.1123595505618,0.5430711610486891,6.580524344569288,18.03370786516854,6.962546816479401,2.198501872659176,5.573033707865169,7.194756554307116,0.9325842696629213,0.8614232209737828,1.400749063670412,0.8346854619865168,1.7303370786516854,1.5730337078651686,0.5280898876404494,5.561797752808989,0.011235955056179775,0.0299625468164794,2.344569288389513,11.779026217228465
std,0.0,27.236397543189067,2.2696997952646236,243.35484771049602,30.640035978974975,51.401041602353516,0.11443299189322391,1.2734431197827842,212.0935062715295,8.177971663145952,1.8474379419606932,19.624549620793484,11.495709346954362,9.691504661026014,1837.3973834688716,961.4167876293004,671.1818778925618,2.258878247679049,2.4477697965959373,2.519521093824112,1.0018779359275398,1.0408475300428468,1.0018779359307992,2.9213791220479326,1.0018779359276675,5.262930496257854,1.0018779359260774,1.1558627330180247,284.06328731150785,0.10014840891131695,1.5542283468890035,1.7465392892813512,24.65456600063519,0.28532297191910544,2.1978046184641262,17.51031026613429,9.400188791867164,2.643323458925756,2.148305802214963,4.607380767234802,19.357405104546313,1.1702044703537349,6.584619446700299,33.0734371205499,6.293458075015111,5.9567613067818925,10.509094851441958,8.648497774544483,1.3161611369998047,1.5774165840414935,2.426451856049603,1.53329044699064,2.930642023159041,2.91955156890937,1.4542384590049993,4.600478210300922,0.10560054067615238,0.21026567177578923,3.243443140247052,9.667005069725942
min,1.0,50.0,4.1666666667,30.0,7.0,0.0,0.15,0.0,32.0,13.0,0.0,0.0,0.0,0.0,13.9156,5.44661,4.83519,16.5219,7.889869999999999,7.7812,-2.5181993383,-3.5873149408,-0.5783669588,-0.3748974065,-0.6135071723,-1.5296100237999999,-1.3411212966,-1.6646528477000002,30.0,0.8484848484999999,2.537,2.7039999999999997,7.0,0.175,3.25,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9691287879000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,1.0,81.0,6.75,194.5,27.0,1.0,0.292,0.2857142857,166.5,31.0,0.0,1.0,0.0,2.0,21.8703,8.873090000000001,7.644115,20.9515,12.2241,12.350999999999999,-0.62528922325,-1.6207771549499999,-0.5783669588,-0.3748974065,-0.3887222295,-0.34879997890000003,-0.6871547434,-0.9101741429000001,219.5,1.0840141167000001,5.4735,6.0680000000000005,25.0,1.0,7.67,55.0,3.0,1.0,1.0,3.0,9.5,0.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,-0.06798834035000001,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0
50%,1.0,94.0,7.833333333300001,307.0,39.0,11.0,0.397,0.4642857143,265.0,36.0,0.0,3.0,0.0,5.0,24.7305,10.4121,8.84425,22.4355,13.8073,14.019,-0.060284722699999994,-1.0337959293,-0.5783669588,-0.3748974065,-0.2482316402,0.3892062992,-0.2947748115,-0.45748692,359.0,1.1601941748,6.35,7.065,37.0,1.192,9.02,68.0,6.0,2.0,2.0,5.0,19.0,0.0,5.0,0.0,6.0,0.0,2.0,5.0,0.0,0.0,0.0,1.0746418733,1.0,1.0,0.0,5.0,0.0,0.0,1.0,9.0
75%,1.0,111.0,9.25,446.0,62.0,28.0,0.465,0.8260504202000001,399.0,42.0,1.0,9.0,6.0,9.0,27.72385,12.158999999999999,10.313749999999999,23.88095,15.20235,15.48415,0.638799568,-0.30751967225,0.247429715,2.0330457923,0.03638576525,1.88432019435,0.4572867246,0.41016359049999995,521.0,1.21165907565,7.4345,8.271,60.5,1.3359999999999999,10.465,80.0,12.0,4.0,3.0,7.0,32.0,1.0,9.0,26.5,10.0,2.0,5.5,9.0,2.0,1.0,2.0,1.9243925476500001,2.0,2.0,0.0,7.0,0.0,0.0,3.0,16.0
max,1.0,184.0,15.333333333299999,1668.0,189.0,621.0,0.737,14.0,1570.0,62.0,12.0,230.0,82.0,62.0,22531.1,9600.78,6275.17,29.1326,24.615,25.0087,4.5126096603,3.7169682637,6.0280064316,18.8886481842,10.4009550248,56.330082178299996,4.609974337300001,5.201103366,1783.0,1.4931506849,13.444,15.444,100.0,2.222,16.5,105.0,93.0,13.0,17.0,42.0,145.0,10.0,42.0,155.0,54.0,58.0,111.0,83.0,7.0,11.0,16.0,4.0698124098,16.0,23.0,12.0,34.0,1.0,2.0,24.0,59.0
