,Y,age,age(years),child_TNW,child_TNS,examiner_TNW,freq_ttr,r_2_i_verbs,mor_words,num_pos_tags,n_dos,repetition,retracing,fillers,s_1g_ppl,s_2g_ppl,s_3g_ppl,d_1g_ppl,d_2g_ppl,d_3g_ppl,z_mlu_sli,z_mlu_td,z_ndw_sli,z_ndw_td,z_ipsyn_sli,z_ipsyn_td,z_utts_sli,z_utts_td,total_syl,average_syl,mlu_words,mlu_morphemes,mlu100_utts,verb_utt,dss,ipsyn_total,present_progressive,propositions_in,propositions_on,plural_s,irregular_past_tense,possessive_s,uncontractible_copula,articles,regular_past_ed,regular_3rd_person_s,irregular_3rd_person,uncontractible_aux,contractible_copula,contractible_aux,word_errors,f_k,n_v,n_aux,n_3s_v,det_n_pl,det_pl_n,pro_aux,pro_3s_v,total_error
count,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0
mean,0.0,101.91629464285714,8.493024553572099,442.54017857142856,51.127232142857146,10.244419642857142,0.36444754464285717,0.3701115494853795,397.53683035714283,39.208705357142854,0.8404017857142857,7.28125,5.180803571428571,6.860491071428571,261.3408829241072,105.0497399330357,67.09738593750001,22.297635267857142,14.011421707589287,14.194954453125002,0.9348056261208705,-1.6741251242434275e-12,-0.4497970525554689,1.3058014986760164e-11,-0.3223229101126116,-1.586032892321652e-17,0.10176539868627232,-1.4509028898958475e-12,522.0078125,1.1768791936833705,7.8936986607142865,8.8730390625,48.816964285714285,1.4321026785714284,10.90796875,77.27678571428571,10.175223214285714,3.3203125,2.7176339285714284,6.924107142857143,32.440848214285715,0.7544642857142857,8.801339285714286,25.344866071428573,12.040178571428571,4.484375,5.3359375,8.866071428571429,0.6372767857142857,0.7198660714285714,0.31138392857142855,1.686570148161049,1.2020089285714286,1.5334821428571428,1.2622767857142858,7.228794642857143,0.008928571428571428,0.044642857142857144,2.9151785714285716,14.1953125
std,0.0,33.21712424528193,2.768093687107322,239.21047639090477,26.52317413059176,19.860054293337612,0.10434132608492197,0.24209978505745994,218.77226950548143,7.586519365782326,1.2181942196643456,10.29818690990239,8.694486136969436,8.570024503001324,3311.7326971110783,1671.4792011636112,1288.632775859005,3.2297201361754797,3.2668599004353553,3.3346314106441617,0.9630973404682297,1.000558503257573,0.3431384445977079,1.0005585032522344,0.19047135217340685,1.0005585032565936,0.8672634382833281,1.00055850325858,285.0478210302478,0.08213614956416294,1.4940674244724408,1.710129218428775,24.143425771436124,0.2712378258289485,2.223776922799205,15.645491511259422,10.340217623859708,2.9854526831728028,2.174910614981778,4.620435453820451,21.49795014147431,1.3370450796782358,6.964125021167764,39.84865833850233,8.012877454930996,11.527561398132281,11.470724593308425,9.253471555799932,1.5057116416781386,1.9452524599344643,0.831048260387672,1.238055875181341,1.704557277644067,3.1493540236310706,3.606847143813388,4.872462479335262,0.10532509623942991,0.23686567325553884,3.238310058520605,10.507822056520961
min,0.0,48.0,4.0,29.0,8.0,0.0,0.15,0.0,29.0,12.0,0.0,0.0,0.0,0.0,15.3777,5.66769,5.07911,12.69,6.15453,6.2361699999999995,-2.3370626986,-3.399132711,-0.5783669588,-0.3748974065,-0.6135071723,-1.5296100237999999,-1.308422969,-1.6269289124000001,34.0,0.8453608247,2.818,3.2,7.0,0.115,4.76,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9125994108999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,78.0,6.5,269.0,31.0,0.0,0.27875,0.2413793103,242.0,34.0,0.0,1.0,0.0,1.0,22.394825,8.5349525,7.007737499999999,20.2348,11.917499999999999,12.029250000000001,0.3201989127,-0.638512793525,-0.5783669588,-0.3748974065,-0.4236026517,-0.5320291238,-0.5563614328,-0.7592784019,313.0,1.1265656566,6.94025,7.76675,29.0,1.2657500000000002,9.3475,67.0,3.0,1.0,1.0,4.0,17.0,0.0,4.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.897893666325,0.0,0.0,0.0,4.0,0.0,0.0,1.0,7.0
50%,0.0,96.0,8.0,404.0,46.0,2.0,0.365,0.32844606165,360.0,39.0,0.0,3.0,0.0,4.0,24.990099999999998,9.80004,7.99106,22.048299999999998,13.5882,13.775549999999999,0.9146945209,-0.020893357799999998,-0.5783669588,-0.3748974065,-0.35510312015,-0.17219659305,-0.0658865179,-0.19341937329999997,478.0,1.1821000651,7.862500000000001,8.836500000000001,44.0,1.422,10.795,80.0,7.0,3.0,2.0,6.0,30.0,0.0,8.0,0.0,11.0,0.0,1.0,6.0,0.0,0.0,0.0,1.8056866570499999,1.0,0.0,0.0,6.0,0.0,0.0,2.0,12.0
75%,0.0,117.0,9.75,562.0,67.0,12.0,0.429,0.43902439020000006,505.25,44.0,1.0,9.0,8.0,9.0,27.670775,11.302299999999999,9.2123,24.048524999999998,15.556925,15.84015,1.520793187925,0.60878045565,-0.5783669588,-0.3748974065,-0.2681059187,0.2848054111,0.6207783629,0.5987832667,657.0,1.2281948815250001,8.80275,9.9285,66.0,1.588,12.4225,89.0,13.0,5.0,4.0,9.0,44.0,1.0,12.0,53.0,16.0,1.0,4.0,11.0,1.0,1.0,0.0,2.543314591275,2.0,2.0,0.0,9.25,0.0,0.0,4.0,19.0
max,0.0,192.0,16.0,1746.0,186.0,159.0,0.828,3.0,1557.0,70.0,9.0,82.0,49.0,76.0,80019.8,40515.9,37286.5,42.5678,31.7069,32.5918,5.964281235,5.2251048527999995,2.3119213995,8.0529037894,1.7467347271,10.8688954481,4.5118793543999995,5.0879315602999995,2119.0,1.6666666666999999,15.696,18.0,100.0,2.696,17.66,109.0,78.0,46.0,16.0,42.0,142.0,11.0,63.0,172.0,59.0,73.0,99.0,75.0,26.0,30.0,7.0,5.7453551913,14.0,37.0,28.0,44.0,2.0,2.0,27.0,70.0
